市場,證券代號,證券名稱,外資_買進,外資_賣出,外資_買賣超,投信_買進,投信_賣出,投信_買賣超,自營_買進,自營_賣出,自營_買賣超
TPEX,00867B,新光A-BBB電信債,21000,0,21000,0,0,0,225000,250000,-25000
TPEX,00870B,元大15年EM主權債,3000,13000,-10000,0,0,0,10000,25000,-15000
TPEX,00877,復華中國5G,867000,64000,803000,0,0,0,498346,800730,-302384
TPEX,00883B,中信ESG投資級債,14000,0,14000,0,0,0,300118,322457,-22339
TPEX,00884B,中信低碳新興債,36000,0,36000,0,0,0,300305,340580,-40275
TPEX,00886,永豐美國科技,0,0,0,0,0,0,2000,3000,-1000
TPEX,00887,永豐中國科技50大,1092000,6000,1086000,0,0,0,2272188,4160461,-1888273
TPEX,00888,永豐台灣ESG,13000,75000,-62000,0,0,0,579497,433840,145657
TPEX,00890B,凱基ESG BBB債15+,0,1000,-1000,0,0,0,501000,505000,-4000
TPEX,00928,中信上櫃ESG 30,15000,7000,8000,0,0,0,205016,299250,-94234
TPEX,00931B,統一美債20年,2543000,1036000,1507000,0,0,0,3078000,1165536,1912464
TPEX,00933B,國泰10Y+金融債,3344000,2535000,809000,0,0,0,1190000,2121782,-931782
TPEX,00937B,群益ESG投等債20+,29405000,9873000,19532000,0,0,0,10304614,10818548,-513934
TPEX,00942B,台新美A公司債20+,1320000,622000,698000,0,0,0,1375000,1441880,-66880
TPEX,00948B,中信優息投資級債,7100000,2362500,4737500,0,0,0,4520000,6619832,-2099832
TPEX,00950B,凱基A級公司債,5758000,2281000,3477000,0,0,0,1938000,5322063,-3384063
TPEX,00955,中信日本商社,3549500,1924000,1625500,0,0,0,280000,20350382,-20070382
TPEX,00957B,兆豐US優選投等債,6000,6000,0,0,0,0,51157,62363,-11206
TPEX,00958B,永豐ESG銀行債15+,14000,9000,5000,0,0,0,697782,189662,508120
TPEX,00959B,大華投等美債15Y+,971000,702000,269000,0,0,0,1953435,1453000,500435
TPEX,00966B,統一ESG投等債15+,7000,0,7000,0,0,0,3765000,3387798,377202
TPEX,00967B,元大優息美債,0,117000,-117000,0,0,0,589000,352421,236579
TPEX,00968B,元大優息投等債,1712000,1133000,579000,0,0,0,1264000,4063588,-2799588
TPEX,00969B,元大零息超長美債,10000,36000,-26000,0,0,0,2553000,2223375,329625
TPEX,00970B,新光BBB投等債20+,2037000,893000,1144000,0,0,0,355000,1654438,-1299438
TPEX,00980B,台新特選IG債10+,0,0,0,0,0,0,490000,503079,-13079
TPEX,00981B,第一金優選非投債,50000,771000,-721000,0,0,0,271000,3807335,-3536335
TPEX,00982B,FT投資級債20+,0,0,0,0,0,0,20000,90825,-70825
TPEX,020023,元大櫃買半導體N,0,0,0,0,0,0,3000,10000,-7000
TPEX,020025,統一亞洲半導體N,0,0,0,0,0,0,2000,0,2000
TPEX,020027,元大上櫃ESG成長N,0,0,0,0,0,0,47000,80000,-33000
TPEX,020033,統一恒生科期N,0,0,0,0,0,0,0,7000,-7000
TPEX,020035,元大上櫃ESG高息N,0,0,0,0,0,0,1000,1000,0
TPEX,1240,茂生農經,5000,0,5000,0,0,0,0,0,0
TPEX,1259,安心,3000,2000,1000,0,0,0,0,0,0
TPEX,1268,漢來美食,2000,5000,-3000,0,0,0,0,0,0
TPEX,1294,漢田生技,0,2000,-2000,0,0,0,0,0,0
