"114年01月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","26,512.35","+","249.75","0.95","",
"發行量加權股價指數","23,525.41","+","225.40","0.97","",
"臺灣公司治理100指數","14,209.38","+","138.94","0.99","",
"臺灣50指數","20,111.66","+","200.78","1.01","",
"臺灣50權重上限30%指數","16,882.78","+","131.10","0.78","",
"臺灣中型100指數","19,418.65","+","197.19","1.03","",
"臺灣資訊科技指數","40,434.51","+","424.06","1.06","",
"臺灣發達指數","9,958.63","+","121.77","1.24","",
"臺灣高股息指數","9,310.63","+","43.06","0.46","",
"臺灣就業99指數","13,557.15","+","106.28","0.79","",
"臺灣高薪100指數","12,027.02","+","93.63","0.78","",
"未含金融指數","20,577.87","+","208.62","1.02","",
"未含電子指數","19,165.57","+","127.08","0.67","",
"未含金融電子指數","14,251.07","+","109.54","0.77","",
"小型股300指數","11,145.87","+","92.66","0.84","",
"水泥窯製類指數","579.22","+","0.63","0.11","",
"塑膠化工類指數","609.76","+","2.44","0.40","",
"機電類指數","7,323.33","+","79.99","1.10","",
"水泥類指數","152.08","+","0.19","0.13","",
"食品類指數","2,066.65","+","3.99","0.19","",
"塑膠類指數","109.98","+","1.07","0.98","",
"紡織纖維類指數","599.90","+","3.24","0.54","",
"電機機械類指數","394.94","+","7.22","1.86","",
"電器電纜類指數","88.83","+","0.96","1.09","",
"化學生技醫療類指數","135.33","+","0.03","0.02","",
"化學類指數","159.79","+","0.72","0.45","",
"生技醫療類指數","75.93","-","0.17","-0.22","",
"玻璃陶瓷類指數","46.54","-","0.01","-0.02","",
"造紙類指數","282.56","+","0.88","0.31","",
"鋼鐵類指數","120.89","+","0.55","0.46","",
"橡膠類指數","269.30","+","1.23","0.46","",
"汽車類指數","372.83","+","2.78","0.75","",
"電子工業類指數","1,316.78","+","14.16","1.09","",
"半導體類指數","686.74","+","7.51","1.11","",
"電腦及週邊設備類指數","269.07","+","1.41","0.53","",
"光電類指數","40.09","+","0.11","0.28","",
"通信網路類指數","168.85","+","1.62","0.97","",
"電子零組件類指數","240.78","+","4.75","2.01","",
"電子通路類指數","245.34","+","2.01","0.83","",
"資訊服務類指數","216.62","+","4.11","1.93","",
"其他電子類指數","168.53","+","1.66","0.99","",
"建材營造類指數","531.17","+","2.94","0.56","",
"航運類指數","195.17","+","2.47","1.28","",
"觀光餐旅類指數","120.04","+","0.96","0.81","",
"金融保險類指數","2,126.33","+","10.22","0.48","",
"貿易百貨類指數","277.41","-","0.54","-0.19","",
"油電燃氣類指數","54.74","+","0.26","0.48","",
"綠能環保類指數","106.40","+","1.49","1.42","",
"數位雲端類指數","62.63","-","0.21","-0.33","",
"運動休閒類指數","99.48","+","2.82","2.92","",
"居家生活類指數","127.45","-","3.23","-2.47","",
"其他類指數","319.55","+","1.81","0.57","",
"臺指日報酬兩倍指數","65,209.80","+","1,237.71","1.93","",
"臺指反向一倍指數","2,737.19","-","26.74","-0.97","",
"電子類兩倍槓桿指數","86,551.52","+","1,841.66","2.17","",
"電子類反向指數","1,980.79","-","21.77","-1.09","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,899.09","+","5.48","0.14","",
"臺灣中小型公司治理指數","10,315.88","+","85.87","0.84","",
"臺灣IPO指數","5,923.71","+","77.72","1.33","",
"智慧中立指數","3,622.25","-","3.06","-0.08","",
"臺灣5G指數","11,870.61","+","100.89","0.86","",
"臺灣企業社會責任中小型指數","11,668.61","+","125.29","1.09","",
"特選臺灣電動車代表指數","10,126.88","+","169.56","1.70","",
"臺灣5G+通訊指數","10,502.43","+","81.61","0.78","",
"臺灣全市場指數","8,110.68","+","74.72","0.93","",
"臺灣全市場半導體指數","8,070.39","+","35.94","0.45","",
"臺灣智慧移動與電動車指數","5,862.15","+","26.05","0.45","",
"特選小資高價30指數","8,493.31","+","98.83","1.18","",
"特選臺灣綠能及電動車指數","6,139.04","+","72.70","1.20","",
"特選臺灣智能車供應鏈聯盟指數","7,558.75","+","67.94","0.91","",
"臺灣全市場半導體精選30指數","6,325.61","+","22.44","0.36","",
"特選臺灣高股息30指數","4,991.18","+","23.04","0.46","",
"臺灣友善環境指數","7,182.88","+","65.92","0.93","",
"台灣永續價值指數","6,565.28","+","55.69","0.86","",
"特選臺灣IC設計指數","4,600.78","-","7.87","-0.17","",
"特選臺灣環境永續高股息指數","6,756.62","+","63.00","0.94","",
"臺灣友善環境50指數","6,003.76","+","48.33","0.81","",
"特選臺灣IC設計產業代表指數","5,916.87","-","11.47","-0.19","",
"特選臺灣綠能指數","5,158.88","+","132.24","2.63","",
"特選臺灣智慧50指數","5,519.11","+","51.99","0.95","",
"臺灣晶圓製造指數","6,228.18","-","16.71","-0.27","",
"臺灣精選高息指數","5,418.61","-","9.14","-0.17","",
"臺灣多因子優選高股息30指數","8,347.41","+","4.02","0.05","",
"特選臺灣優利高填息30指數","7,193.44","+","9.76","0.14","",
"特選臺灣科技優息指數","8,730.52","+","20.73","0.24","",
"臺灣半導體收益指數","6,772.70","+","21.26","0.31","",
"臺灣優選成長高股息指數","7,476.76","+","47.50","0.64","",
"特選臺灣ESG低碳高息40指數","8,115.72","+","31.86","0.39","",
"臺灣優選多因子30指數","8,621.10","+","14.47","0.17","",
"臺灣創新科技50指數","7,980.29","+","69.13","0.87","",
"臺灣全市場新經濟產業指數","4,801.60","+","51.08","1.08","",
"臺灣ESG永續高股息等權重指數","6,034.53","+","60.22","1.01","",
"臺灣永續高息中小型指數","5,475.52","+","47.30","0.87","",
"特選臺灣高息優質成長指數","5,787.08","+","60.96","1.06","",
"特選臺灣高息動能指數","6,532.81","+","47.15","0.73","",
