"114年04月24日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","21,979.07","-","155.41","-0.70","",
"發行量加權股價指數","19,478.81","-","160.33","-0.82","",
"臺灣公司治理100指數","11,613.49","-","129.12","-1.10","",
"臺灣50指數","16,216.90","-","192.67","-1.17","",
"臺灣50權重上限30%指數","14,137.34","-","180.08","-1.26","",
"臺灣中型100指數","16,678.84","-","7.74","-0.05","",
"臺灣資訊科技指數","31,794.83","-","390.23","-1.21","",
"臺灣發達指數","8,808.83","-","30.21","-0.34","",
"臺灣高股息指數","8,502.66","-","66.96","-0.78","",
"臺灣就業99指數","11,730.75","-","115.67","-0.98","",
"臺灣高薪100指數","10,670.51","-","115.10","-1.07","",
"未含金融指數","16,848.29","-","143.22","-0.84","",
"未含電子指數","17,424.12","-","70.44","-0.40","",
"未含金融電子指數","12,971.70","-","36.82","-0.28","",
"小型股300指數","9,661.51","+","20.57","0.21","",
"水泥窯製類指數","556.04","-","0.46","-0.08","",
"塑膠化工類指數","545.81","-","7.69","-1.39","",
"機電類指數","5,828.48","-","58.28","-0.99","",
"水泥類指數","147.75","+","0.07","0.05","",
"食品類指數","2,015.02","-","12.70","-0.63","",
"塑膠類指數","101.59","-","2.89","-2.77","",
"紡織纖維類指數","519.75","+","3.61","0.70","",
"電機機械類指數","315.30","-","1.22","-0.39","",
"電器電纜類指數","76.15","-","0.65","-0.85","",
"化學生技醫療類指數","117.01","-","0.74","-0.63","",
"化學類指數","145.46","-","0.89","-0.61","",
"生技醫療類指數","63.76","-","0.42","-0.65","",
"玻璃陶瓷類指數","40.96","-","0.43","-1.04","",
"造紙類指數","245.71","-","0.60","-0.24","",
"鋼鐵類指數","121.33","+","0.37","0.31","",
"橡膠類指數","254.88","-","1.65","-0.64","",
"汽車類指數","347.86","+","1.94","0.56","",
"電子工業類指數","1,047.58","-","10.63","-1.00","",
"半導體類指數","536.36","-","6.83","-1.26","",
"電腦及週邊設備類指數","225.51","-","1.58","-0.70","",
"光電類指數","33.44","-","0.28","-0.83","",
"通信網路類指數","154.54","-","0.09","-0.06","",
"電子零組件類指數","186.64","-","0.81","-0.43","",
"電子通路類指數","225.88","+","3.43","1.54","",
"資訊服務類指數","211.78","+","6.25","3.04","",
"其他電子類指數","131.71","-","1.41","-1.06","",
"建材營造類指數","496.08","-","1.45","-0.29","",
"航運類指數","187.10","-","0.27","-0.14","",
"觀光餐旅類指數","109.80","+","0.17","0.16","",
"金融保險類指數","1,929.14","-","11.85","-0.61","",
"貿易百貨類指數","261.23","+","0.68","0.26","",
"油電燃氣類指數","52.20","-","1.84","-3.40","",
"綠能環保類指數","94.46","+","0.27","0.29","",
"數位雲端類指數","56.18","+","0.39","0.70","",
"運動休閒類指數","81.85","+","0.62","0.76","",
"居家生活類指數","107.41","+","4.64","4.51","",
"其他類指數","283.89","+","0.07","0.02","",
"臺指日報酬兩倍指數","43,121.73","-","715.76","-1.63","",
"臺指反向一倍指數","3,193.03","+","25.86","0.82","",
"電子類兩倍槓桿指數","52,457.50","-","1,075.51","-2.01","",
"電子類反向指數","2,387.35","+","23.74","1.00","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,256.00","-","16.78","-0.51","",
"臺灣中小型公司治理指數","8,452.93","+","11.59","0.14","",
"臺灣IPO指數","4,777.34","+","21.51","0.45","",
"智慧中立指數","3,809.67","-","5.69","-0.15","",
"臺灣5G指數","10,011.49","-","146.36","-1.44","",
"臺灣企業社會責任中小型指數","10,112.22","+","29.22","0.29","",
"特選臺灣電動車代表指數","8,420.28","-","38.17","-0.45","",
"臺灣科技龍頭通訊指數","8,602.54","-","120.80","-1.38","",
"臺灣全市場指數","6,741.65","-","49.15","-0.72","",
"臺灣全市場半導體指數","6,670.79","-","97.55","-1.44","",
"臺灣智慧移動與電動車指數","4,917.13","-","60.25","-1.21","",
"特選小資高價30指數","6,640.11","-","36.00","-0.54","",
"特選臺灣綠能及電動車指數","5,173.23","-","45.99","-0.88","",
"特選臺灣智能車供應鏈聯盟指數","6,127.54","-","78.39","-1.26","",
"臺灣全市場半導體精選30指數","5,227.93","-","90.10","-1.69","",
"特選臺灣高股息30指數","4,531.15","-","13.97","-0.31","",
"臺灣友善環境指數","6,048.85","-","43.58","-0.72","",
"台灣永續價值指數","5,485.61","-","53.73","-0.97","",
"特選臺灣IC設計指數","3,839.94","-","46.23","-1.19","",
"特選臺灣環境永續高股息指數","6,259.04","-","5.47","-0.09","",
"臺灣友善環境50指數","5,036.67","-","64.11","-1.26","",
"特選臺灣IC設計產業代表指數","5,015.24","-","73.99","-1.45","",
"特選臺灣綠能指數","4,330.79","-","24.00","-0.55","",
"特選臺灣智慧50指數","4,691.31","-","34.57","-0.73","",
"臺灣晶圓製造指數","5,256.55","-","71.29","-1.34","",
"臺灣精選高息指數","5,053.20","-","48.36","-0.95","",
"臺灣多因子優選高股息30指數","7,714.72","-","34.67","-0.45","",
"特選臺灣優利高填息30指數","6,719.26","-","30.49","-0.45","",
"特選臺灣科技優息指數","7,990.55","-","72.03","-0.89","",
"臺灣半導體收益指數","5,919.76","-","69.75","-1.16","",
"臺灣優選成長高股息指數","6,648.46","-","46.90","-0.70","",
