"114年04月22日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","21,192.22","-","345.50","-1.60","",
"發行量加權股價指數","18,793.43","-","312.77","-1.64","",
"臺灣公司治理100指數","11,180.37","-","214.05","-1.88","",
"臺灣50指數","15,570.57","-","324.59","-2.04","",
"臺灣50權重上限30%指數","13,703.81","-","266.62","-1.91","",
"臺灣中型100指數","16,176.12","-","171.38","-1.05","",
"臺灣資訊科技指數","30,315.95","-","710.18","-2.29","",
"臺灣發達指數","8,589.39","-","38.61","-0.45","",
"臺灣高股息指數","8,331.31","-","110.41","-1.31","",
"臺灣就業99指數","11,475.78","-","144.64","-1.24","",
"臺灣高薪100指數","10,451.97","-","154.89","-1.46","",
"未含金融指數","16,195.11","-","274.86","-1.67","",
"未含電子指數","17,150.45","-","139.58","-0.81","",
"未含金融電子指數","12,706.38","-","58.85","-0.46","",
"小型股300指數","9,357.70","-","77.96","-0.83","",
"水泥窯製類指數","548.10","-","3.56","-0.65","",
"塑膠化工類指數","542.20","-","0.93","-0.17","",
"機電類指數","5,573.69","-","113.69","-2.00","",
"水泥類指數","145.61","-","1.04","-0.71","",
"食品類指數","1,984.82","+","0.22","0.01","",
"塑膠類指數","101.74","+","0.52","0.51","",
"紡織纖維類指數","503.93","+","1.53","0.30","",
"電機機械類指數","305.33","-","4.49","-1.45","",
"電器電纜類指數","74.42","+","0.29","0.39","",
"化學生技醫療類指數","115.31","-","0.66","-0.57","",
"化學類指數","143.19","-","0.62","-0.43","",
"生技醫療類指數","62.88","-","0.41","-0.65","",
"玻璃陶瓷類指數","40.42","-","0.07","-0.17","",
"造紙類指數","240.20","-","1.65","-0.68","",
"鋼鐵類指數","117.94","+","0.37","0.31","",
"橡膠類指數","255.57","-","1.09","-0.42","",
"汽車類指數","339.23","-","0.85","-0.25","",
"電子工業類指數","1,001.40","-","20.67","-2.02","",
"半導體類指數","510.21","-","11.49","-2.20","",
"電腦及週邊設備類指數","217.23","-","5.39","-2.42","",
"光電類指數","32.65","-","0.21","-0.64","",
"通信網路類指數","152.71","-","0.68","-0.44","",
"電子零組件類指數","177.47","-","2.52","-1.40","",
"電子通路類指數","217.04","-","0.99","-0.45","",
"資訊服務類指數","197.33","-","3.41","-1.70","",
"其他電子類指數","126.81","-","3.31","-2.54","",
"建材營造類指數","486.69","-","5.24","-1.07","",
"航運類指數","182.62","-","2.01","-1.09","",
"觀光餐旅類指數","107.96","-","0.61","-0.56","",
"金融保險類指數","1,914.80","-","27.13","-1.40","",
"貿易百貨類指數","256.08","-","1.04","-0.40","",
"油電燃氣類指數","52.83","-","0.04","-0.08","",
"綠能環保類指數","92.74","-","0.01","-0.01","",
"數位雲端類指數","54.47","+","0.42","0.78","",
"運動休閒類指數","78.79","+","0.21","0.27","",
"居家生活類指數","101.75","-","0.54","-0.53","",
"其他類指數","276.88","-","2.75","-0.98","",
"臺指日報酬兩倍指數","40,217.86","-","1,361.31","-3.27","",
"臺指反向一倍指數","3,316.41","+","53.42","1.64","",
"電子類兩倍槓桿指數","48,078.02","-","2,026.60","-4.04","",
"電子類反向指數","2,505.76","+","49.67","2.02","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,197.35","-","17.24","-0.54","",
"臺灣中小型公司治理指數","8,136.31","-","76.84","-0.94","",
"臺灣IPO指數","4,608.19","-","36.65","-0.79","",
"智慧中立指數","3,824.50","+","26.04","0.69","",
"臺灣5G指數","9,684.20","-","159.57","-1.62","",
"臺灣企業社會責任中小型指數","9,764.35","-","76.60","-0.78","",
"特選臺灣電動車代表指數","8,164.14","-","104.23","-1.26","",
"臺灣科技龍頭通訊指數","8,286.75","-","194.79","-2.30","",
"臺灣全市場指數","6,503.92","-","108.47","-1.64","",
"臺灣全市場半導體指數","6,423.17","-","133.67","-2.04","",
"臺灣智慧移動與電動車指數","4,769.85","-","89.19","-1.84","",
"特選小資高價30指數","6,286.77","-","164.91","-2.56","",
"特選臺灣綠能及電動車指數","5,021.48","-","66.25","-1.30","",
"特選臺灣智能車供應鏈聯盟指數","5,889.19","-","134.99","-2.24","",
"臺灣全市場半導體精選30指數","5,048.17","-","107.10","-2.08","",
"特選臺灣高股息30指數","4,387.21","-","68.22","-1.53","",
"臺灣友善環境指數","5,849.43","-","96.28","-1.62","",
"台灣永續價值指數","5,319.46","-","96.00","-1.77","",
"特選臺灣IC設計指數","3,696.71","-","113.02","-2.97","",
"特選臺灣環境永續高股息指數","6,116.01","-","45.60","-0.74","",
"臺灣友善環境50指數","4,874.44","-","96.14","-1.93","",
"特選臺灣IC設計產業代表指數","4,843.40","-","141.24","-2.83","",
"特選臺灣綠能指數","4,203.07","-","25.40","-0.60","",
"特選臺灣智慧50指數","4,518.76","-","100.84","-2.18","",
"臺灣晶圓製造指數","5,088.26","-","71.06","-1.38","",
"臺灣精選高息指數","4,946.24","-","76.49","-1.52","",
"臺灣多因子優選高股息30指數","7,568.96","-","59.03","-0.77","",
"特選臺灣優利高填息30指數","6,558.07","-","85.19","-1.28","",
"特選臺灣科技優息指數","7,809.32","-","86.60","-1.10","",
"臺灣半導體收益指數","5,734.65","-","84.09","-1.45","",
"臺灣優選成長高股息指數","6,432.43","-","123.29","-1.88","",
"特選臺灣ESG低碳高息40指數","7,245.12","-","87.53","-1.19","",
"臺灣優選多因子30指數","7,654.60","-","104.40","-1.35","",
"臺灣創新科技50指數","6,197.45","-","135.47","-2.14","",
"臺灣全市場新經濟產業指數","4,038.08","+","6.46","0.16","",
"臺灣ESG永續高股息等權重指數","5,218.19","-","40.79","-0.78","",
"臺灣永續高息中小型指數","4,809.96","-","47.39","-0.98","",
"特選臺灣高息優質成長指數","5,247.69","-","74.54","-1.40","",
"特選臺灣高息動能指數","6,009.72","-","46.29","-0.76","",
"臺灣電子成長高息等權重指數","4,972.75","-","70.44","-1.40","",
"特選臺灣優利成長指數","4,312.99","-","46.69","-1.07","",
"臺灣價值高息指數","4,853.21","-","61.83","-1.26","",
"特選臺灣IC設計動能指數","3,892.18","-","104.22","-2.61","",
"臺灣科技高股息指數","4,521.20","-","55.85","-1.22","",
"臺灣趨勢動能高股息指數","5,139.69","-","67.24","-1.29","",
"特選臺灣科技高息成長指數","4,665.72","-","61.80","-1.31","",
"特選臺灣AI優息動能指數","3,988.84","-","74.89","-1.84","",
"臺灣優選AI 50指數","3,922.04","-","63.95","-1.60","",
"臺灣AI供應鏈聯盟指數","4,360.93","-","105.41","-2.36","",
"台灣旗艦動能50指數","4,589.20","-","72.85","-1.56","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","38,056.11","-","1,093.90","-2.79","",
"金融類日報酬反向一倍指數","3,753.70","+","51.72","1.40","",
"漲升股利150指數","8,521.26","-","72.75","-0.85","",
"藍籌30指數","9,309.22","-","175.37","-1.85","",
"工業菁英30指數","9,296.33","-","130.69","-1.39","",
"低波動股利精選30指數","8,109.90","-","38.36","-0.47","",
"中小型A級動能50指數","16,885.04","-","331.50","-1.93","",
"特選高息低波指數","9,445.57","-","67.26","-0.71","",
"臺灣永續指數","10,018.03","-","182.44","-1.79","",
"價值投資指數","6,681.55","-","87.03","-1.29","",
"存股雙十等權重指數","8,447.44","-","173.08","-2.01","",
"特選大蘋果指數","8,948.59","-","192.95","-2.11","",
"中小型300指數","9,548.48","-","86.29","-0.90","",
"臺灣500指數","9,540.04","-","150.02","-1.55","",
"臺灣勞工權益指數","8,643.34","-","147.54","-1.68","",
"微波高息精選20指數","8,314.02","-","56.71","-0.68","",
"特選世代行動通訊指數","8,359.92","-","96.05","-1.14","",
"智慧投資多因子30指數","7,339.41","+","6.06","0.08","",
"臺股期貨指數","10,182.32","-","163.59","-1.58","",
"特選價值成長指數","8,778.50","-","82.69","-0.93","",
"臺灣上櫃永續指數","5,973.77","-","99.24","-1.63","",
"特選台股領航指數","9,691.75","-","230.24","-2.32","",
"特選Smart多因子指數","7,639.10","-","138.12","-1.78","",
"特選ESG高股息指數","6,360.75","-","112.46","-1.74","",
"特選上櫃ESG成長指數","4,124.41","-","100.16","-2.37","",
"特選上櫃ESG電子菁英指數","4,220.43","-","100.12","-2.32","",
"臺灣優息存股指數","4,809.29","-","32.40","-0.67","",
"特選上櫃ESG永續高股息指數","5,803.77","-","64.76","-1.10","",
"特選臺灣金融高股息存股指數","6,159.49","-","83.53","-1.34","",
"特選臺灣產業龍頭存股等權重指數","5,924.13","-","45.73","-0.77","",
"上櫃ESG 30指數","5,179.03","-","83.38","-1.58","",
"臺灣ESG低碳50指數","6,701.49","-","127.49","-1.87","",
"臺灣創新板指數","7,167.53","-","139.40","-1.91","",
"特選上櫃ESG龍頭指數","5,040.28","-","66.42","-1.30","",
"漲升股利精選高息50指數","5,041.42","-","46.27","-0.91","",
"臺灣市值動能50指數","4,067.93","-","90.83","-2.18","",
"臺灣淨零轉型ESG 50指數","--","","--","--","",
"臺灣護城河概念優選50指數","4,185.91","-","81.83","-1.92","",
"特選臺灣中小型精選動能100指數","3,964.34","-","35.61","-0.89","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","31,602.71","-","515.22","-1.60","",
"發行量加權股價報酬指數","41,659.94","-","693.32","-1.64","",
"臺灣公司治理100報酬指數","16,411.21","-","314.18","-1.88","",
"臺灣50報酬指數","34,761.75","-","724.66","-2.04","",
"臺灣50權重上限30%報酬指數","31,151.63","-","606.09","-1.91","",
"臺灣中型100報酬指數","33,543.21","-","355.38","-1.05","",
"臺灣資訊科技股報酬指數","63,378.48","-","1,484.70","-2.29","",
"臺灣發達報酬指數","17,846.58","-","80.22","-0.45","",
"臺灣高股息報酬指數","25,169.89","-","333.56","-1.31","",
"臺灣就業99報酬指數","19,162.50","-","241.52","-1.24","",
"臺灣高薪100報酬指數","16,844.78","-","249.63","-1.46","",
"未含金融電子報酬指數","29,179.06","-","135.14","-0.46","",
"小型股300報酬指數","13,263.89","-","110.49","-0.83","",
"水泥類報酬指數","308.92","-","2.20","-0.71","",
"食品類報酬指數","3,317.09","+","0.37","0.01","",
"塑膠類報酬指數","197.05","+","1.01","0.52","",
"紡織纖維類報酬指數","890.37","+","2.71","0.31","",
"電機機械類報酬指數","479.70","-","7.04","-1.45","",
"電器電纜類報酬指數","123.34","+","0.47","0.38","",
"化學生技醫療類報酬指數","191.01","-","1.09","-0.57","",
"化學類報酬指數","259.48","-","1.13","-0.43","",
"生技醫療類報酬指數","92.39","-","0.61","-0.66","",
"玻璃陶瓷類報酬指數","51.45","-","0.08","-0.16","",
"造紙類報酬指數","389.37","-","2.67","-0.68","",
"鋼鐵類報酬指數","213.93","+","0.67","0.31","",
"橡膠類報酬指數","435.82","-","1.86","-0.42","",
"汽車類報酬指數","571.17","-","1.43","-0.25","",
"電子工業類報酬指數","2,003.74","-","41.36","-2.02","",
"半導體類報酬指數","954.61","-","21.51","-2.20","",
"電腦及週邊設備類報酬指數","514.73","-","12.77","-2.42","",
"光電類報酬指數","51.20","-","0.32","-0.62","",
"通信網路類報酬指數","343.16","-","1.52","-0.44","",
"電子零組件類報酬指數","350.02","-","4.97","-1.40","",
"電子通路類報酬指數","580.00","-","2.66","-0.46","",
"資訊服務類報酬指數","503.21","-","8.70","-1.70","",
"其他電子類報酬指數","220.80","-","5.77","-2.55","",
"建材營造類報酬指數","1,052.89","-","11.33","-1.06","",
"航運類報酬指數","364.25","-","4.01","-1.09","",
"觀光餐旅類報酬指數","160.19","-","0.91","-0.56","",
"金融保險類報酬指數","3,522.38","-","49.91","-1.40","",
"貿易百貨類報酬指數","425.08","-","1.74","-0.41","",
"油電燃氣類報酬指數","87.55","-","0.06","-0.07","",
"綠能環保類報酬指數","98.03","","--","--","",
"數位雲端類報酬指數","56.56","+","0.43","0.77","",
"運動休閒類報酬指數","84.18","+","0.23","0.27","",
"居家生活類報酬指數","112.01","-","0.60","-0.53","",
"其他類報酬指數","502.88","-","5.00","-0.98","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,657.00","-","19.72","-0.54","",
"臺灣中小型公司治理報酬指數","11,413.76","-","107.80","-0.94","",
"臺灣IPO報酬指數","5,613.45","-","44.65","-0.79","",
"智慧中立報酬指數","4,974.85","+","33.88","0.69","",
"加權指數掩護性臺指買權價外5%報酬指數","8,354.84","-","126.97","-1.50","",
"臺灣5G報酬指數","11,797.61","-","194.39","-1.62","",
"臺灣企業社會責任中小型報酬指數","12,378.02","-","97.11","-0.78","",
"特選臺灣電動車代表報酬指數","9,768.58","-","124.73","-1.26","",
"臺灣科技龍頭通訊報酬指數","9,735.95","-","228.85","-2.30","",
"臺灣全市場報酬指數","7,469.82","-","124.58","-1.64","",
"臺灣全市場半導體報酬指數","7,512.22","-","156.33","-2.04","",
"臺灣智慧移動與電動車報酬指數","5,586.27","-","104.46","-1.84","",
"特選小資高價30報酬指數","7,138.91","-","187.26","-2.56","",
"特選臺灣綠能及電動車報酬指數","5,835.72","-","76.99","-1.30","",
"特選臺灣智能車供應鏈聯盟報酬指數","6,812.74","-","156.17","-2.24","",
"臺灣全市場半導體精選30報酬指數","5,795.18","-","122.95","-2.08","",
"特選臺灣高股息30報酬指數","6,040.57","-","93.92","-1.53","",
"臺灣友善環境報酬指數","6,692.78","-","110.17","-1.62","",
"台灣永續價值報酬指數","5,906.29","-","106.59","-1.77","",
"特選臺灣IC設計報酬指數","4,351.44","-","133.04","-2.97","",
"特選臺灣環境永續高股息報酬指數","8,314.92","-","62.00","-0.74","",
"臺灣友善環境50報酬指數","5,580.43","-","110.06","-1.93","",
"特選臺灣IC設計產業代表報酬指數","5,710.66","-","166.53","-2.83","",
"特選臺灣綠能報酬指數","4,686.34","-","28.32","-0.60","",
"特選臺灣智慧50報酬指數","5,244.89","-","117.04","-2.18","",
"臺灣晶圓製造報酬指數","5,805.56","-","81.08","-1.38","",
"臺灣精選高息報酬指數","6,755.17","-","104.46","-1.52","",
