"114年04月15日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","22,403.07","+","423.62","1.93","",
"發行量加權股價指數","19,857.67","+","344.58","1.77","",
"臺灣公司治理100指數","11,838.37","+","147.27","1.26","",
"臺灣50指數","16,541.76","+","203.00","1.24","",
"臺灣50權重上限30%指數","14,461.79","+","165.61","1.16","",
"臺灣中型100指數","16,929.40","+","409.06","2.48","",
"臺灣資訊科技指數","32,348.81","+","435.61","1.36","",
"臺灣發達指數","8,984.86","+","137.55","1.55","",
"臺灣高股息指數","8,657.36","+","129.81","1.52","",
"臺灣就業99指數","12,022.29","+","201.34","1.70","",
"臺灣高薪100指數","10,974.86","+","151.37","1.40","",
"未含金融指數","17,157.54","+","304.94","1.81","",
"未含電子指數","17,852.79","+","352.94","2.02","",
"未含金融電子指數","13,266.06","+","305.43","2.36","",
"小型股300指數","9,856.35","+","336.80","3.54","",
"水泥窯製類指數","565.52","+","0.78","0.14","",
"塑膠化工類指數","560.65","+","14.74","2.70","",
"機電類指數","5,930.69","+","99.81","1.71","",
"水泥類指數","150.24","-","0.23","-0.15","",
"食品類指數","2,008.93","-","0.05","--","",
"塑膠類指數","106.91","+","3.50","3.38","",
"紡織纖維類指數","531.87","+","13.07","2.52","",
"電機機械類指數","325.83","+","12.62","4.03","",
"電器電纜類指數","78.85","+","2.76","3.63","",
"化學生技醫療類指數","119.56","+","3.02","2.59","",
"化學類指數","148.68","+","4.52","3.14","",
"生技醫療類指數","65.15","+","1.46","2.29","",
"玻璃陶瓷類指數","41.72","+","1.01","2.48","",
"造紙類指數","254.12","+","4.79","1.92","",
"鋼鐵類指數","126.25","+","1.97","1.59","",
"橡膠類指數","250.55","+","3.11","1.26","",
"汽車類指數","347.34","+","9.64","2.85","",
"電子工業類指數","1,065.49","+","17.30","1.65","",
"半導體類指數","546.28","+","7.11","1.32","",
"電腦及週邊設備類指數","228.45","+","4.35","1.94","",
"光電類指數","34.01","+","1.15","3.50","",
"通信網路類指數","157.88","+","3.23","2.09","",
"電子零組件類指數","190.87","+","5.58","3.01","",
"電子通路類指數","220.07","+","6.41","3.00","",
"資訊服務類指數","207.14","+","9.54","4.83","",
"其他電子類指數","132.90","+","2.10","1.61","",
"建材營造類指數","511.49","+","13.22","2.65","",
"航運類指數","193.06","+","2.84","1.49","",
"觀光餐旅類指數","111.98","+","2.39","2.18","",
"金融保險類指數","1,983.03","+","28.02","1.43","",
"貿易百貨類指數","257.85","+","3.16","1.24","",
"油電燃氣類指數","55.22","+","2.59","4.92","",
"綠能環保類指數","95.93","+","2.42","2.59","",
"數位雲端類指數","55.73","+","0.85","1.55","",
"運動休閒類指數","80.62","+","3.25","4.20","",
"居家生活類指數","108.61","+","1.13","1.05","",
"其他類指數","294.63","+","8.46","2.96","",
"臺指日報酬兩倍指數","44,944.87","+","1,533.21","3.53","",
"臺指反向一倍指數","3,141.58","-","56.47","-1.77","",
"電子類兩倍槓桿指數","54,499.04","+","1,741.49","3.30","",
"電子類反向指數","2,357.95","-","39.57","-1.65","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,320.21","+","72.08","2.22","",
"臺灣中小型公司治理指數","8,656.03","+","299.38","3.58","",
"臺灣IPO指數","4,845.70","+","165.63","3.54","",
"智慧中立指數","3,824.53","+","3.10","0.08","",
"臺灣5G指數","10,258.41","+","108.56","1.07","",
"臺灣企業社會責任中小型指數","10,298.10","+","267.31","2.66","",
"特選臺灣電動車代表指數","8,535.58","+","173.45","2.07","",
"臺灣科技龍頭通訊指數","8,768.12","+","81.69","0.94","",
"臺灣全市場指數","6,878.14","+","128.56","1.90","",
"臺灣全市場半導體指數","6,847.48","+","108.22","1.61","",
"臺灣智慧移動與電動車指數","5,014.32","+","85.37","1.73","",
"特選小資高價30指數","6,758.16","+","128.34","1.94","",
"特選臺灣綠能及電動車指數","5,279.69","+","104.28","2.01","",
"特選臺灣智能車供應鏈聯盟指數","6,251.56","+","83.76","1.36","",
"臺灣全市場半導體精選30指數","5,381.33","+","71.30","1.34","",
"特選臺灣高股息30指數","4,598.36","+","70.38","1.55","",
"臺灣友善環境指數","6,167.11","+","95.47","1.57","",
"台灣永續價值指數","5,610.86","+","73.19","1.32","",
"特選臺灣IC設計指數","3,966.63","+","77.52","1.99","",
"特選臺灣環境永續高股息指數","6,427.34","+","139.71","2.22","",
"臺灣友善環境50指數","5,154.58","+","55.16","1.08","",
"特選臺灣IC設計產業代表指數","5,149.42","+","90.22","1.78","",
"特選臺灣綠能指數","4,461.17","+","119.69","2.76","",
"特選臺灣智慧50指數","4,810.60","+","85.48","1.81","",
"臺灣晶圓製造指數","5,381.16","+","97.04","1.84","",
"臺灣精選高息指數","5,206.61","+","67.03","1.30","",
"臺灣多因子優選高股息30指數","7,861.04","+","167.15","2.17","",
"特選臺灣優利高填息30指數","6,801.43","+","90.62","1.35","",
"特選臺灣科技優息指數","8,069.87","+","119.31","1.50","",
"臺灣半導體收益指數","6,051.90","+","89.04","1.49","",
"臺灣優選成長高股息指數","6,792.29","+","129.15","1.94","",
"特選臺灣ESG低碳高息40指數","7,520.02","+","113.17","1.53","",
"臺灣優選多因子30指數","8,030.02","+","157.62","2.00","",
"臺灣創新科技50指數","6,605.98","+","91.57","1.41","",
"臺灣全市場新經濟產業指數","4,166.10","+","116.89","2.89","",
"臺灣ESG永續高股息等權重指數","5,467.19","+","139.38","2.62","",
"臺灣永續高息中小型指數","4,986.01","+","117.26","2.41","",
"特選臺灣高息優質成長指數","5,465.02","+","131.22","2.46","",
"特選臺灣高息動能指數","6,182.96","+","86.01","1.41","",
"臺灣電子成長高息等權重指數","5,201.00","+","140.32","2.77","",
"特選臺灣優利成長指數","4,526.98","+","110.10","2.49","",
"臺灣價值高息指數","5,064.64","+","90.17","1.81","",
"特選臺灣IC設計動能指數","4,165.88","+","91.78","2.25","",
"臺灣科技高股息指數","4,686.50","+","132.66","2.91","",
"臺灣趨勢動能高股息指數","5,334.21","+","93.55","1.79","",
"特選臺灣科技高息成長指數","4,884.62","+","79.54","1.66","",
"特選臺灣AI優息動能指數","4,214.82","+","107.71","2.62","",
"臺灣優選AI 50指數","4,147.92","+","126.73","3.15","",
"臺灣AI供應鏈聯盟指數","4,665.62","+","112.00","2.46","",
"台灣旗艦動能50指數","4,827.42","+","82.43","1.74","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","40,833.18","+","1,137.86","2.87","",
"金融類日報酬反向一倍指數","3,625.99","-","52.72","-1.43","",
"漲升股利150指數","8,924.70","+","123.80","1.41","",
"藍籌30指數","9,866.99","+","105.38","1.08","",
"工業菁英30指數","9,777.75","+","184.23","1.92","",
"低波動股利精選30指數","8,297.13","+","47.65","0.58","",
"中小型A級動能50指數","18,235.65","+","844.67","4.86","",
"特選高息低波指數","9,667.92","+","133.19","1.40","",
"臺灣永續指數","10,550.24","+","127.72","1.23","",
"價值投資指數","7,042.34","+","209.41","3.06","",
"存股雙十等權重指數","8,928.91","+","152.44","1.74","",
"特選大蘋果指數","9,418.39","+","131.43","1.42","",
"中小型300指數","10,023.79","+","279.18","2.86","",
"臺灣500指數","10,051.55","+","172.54","1.75","",
"臺灣勞工權益指數","9,041.30","+","88.74","0.99","",
"微波高息精選20指數","8,446.76","+","51.99","0.62","",
"特選世代行動通訊指數","8,722.56","+","343.33","4.10","",
"智慧投資多因子30指數","7,485.47","+","43.85","0.59","",
"臺股期貨指數","10,714.26","+","166.70","1.58","",
"特選價值成長指數","9,129.45","+","218.73","2.45","",
"臺灣上櫃永續指數","6,417.06","+","222.65","3.59","",
"特選台股領航指數","10,266.96","+","67.95","0.67","",
"特選Smart多因子指數","8,101.19","+","135.54","1.70","",
"特選ESG高股息指數","6,661.02","+","66.91","1.01","",
"特選上櫃ESG成長指數","4,478.47","+","145.14","3.35","",
"特選上櫃ESG電子菁英指數","4,585.64","+","144.88","3.26","",
"臺灣優息存股指數","5,027.01","+","64.67","1.30","",
"特選上櫃ESG永續高股息指數","6,168.38","+","195.54","3.27","",
"特選臺灣金融高股息存股指數","6,372.15","+","65.82","1.04","",
"特選臺灣產業龍頭存股等權重指數","6,161.62","+","106.30","1.76","",
"上櫃ESG 30指數","5,576.57","+","188.43","3.50","",
"臺灣ESG低碳50指數","7,051.11","+","67.73","0.97","",
"臺灣創新板指數","7,663.46","+","339.24","4.63","",
"特選上櫃ESG龍頭指數","5,408.95","+","173.90","3.32","",
"漲升股利精選高息50指數","5,244.27","+","96.91","1.88","",
"臺灣市值動能50指數","4,334.33","+","62.00","1.45","",
"臺灣淨零轉型ESG 50指數","--","","--","--","",
"臺灣護城河概念優選50指數","4,417.02","+","49.19","1.13","",
"特選臺灣中小型精選動能100指數","4,172.22","+","114.34","2.82","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","33,403.58","+","631.63","1.93","",
"發行量加權股價報酬指數","44,015.61","+","763.80","1.77","",
"臺灣公司治理100報酬指數","17,377.06","+","216.18","1.26","",
"臺灣50報酬指數","36,929.97","+","453.20","1.24","",
"臺灣50權重上限30%報酬指數","32,874.68","+","376.49","1.16","",
"臺灣中型100報酬指數","35,105.24","+","848.24","2.48","",
"臺灣資訊科技股報酬指數","67,628.37","+","910.68","1.36","",
"臺灣發達報酬指數","18,668.26","+","285.79","1.55","",
"臺灣高股息報酬指數","26,154.91","+","392.16","1.52","",
"臺灣就業99報酬指數","20,075.07","+","336.20","1.70","",
"臺灣高薪100報酬指數","17,687.49","+","243.94","1.40","",
"未含金融電子報酬指數","30,453.46","+","701.14","2.36","",
"小型股300報酬指數","13,962.47","+","477.11","3.54","",
"水泥類報酬指數","318.73","-","0.50","-0.16","",
"食品類報酬指數","3,357.38","-","0.09","--","",
"塑膠類報酬指數","207.07","+","6.79","3.39","",
"紡織纖維類報酬指數","939.38","+","23.09","2.52","",
"電機機械類報酬指數","511.81","+","19.81","4.03","",
"電器電纜類報酬指數","130.70","+","4.58","3.63","",
"化學生技醫療類報酬指數","198.06","+","5.02","2.60","",
"化學類報酬指數","269.43","+","8.19","3.14","",
"生技醫療類報酬指數","95.72","+","2.13","2.28","",
"玻璃陶瓷類報酬指數","53.10","+","1.28","2.47","",
"造紙類報酬指數","411.94","+","7.76","1.92","",
"鋼鐵類報酬指數","228.76","+","3.58","1.59","",
"橡膠類報酬指數","427.25","+","5.30","1.26","",
"汽車類報酬指數","584.55","+","16.22","2.85","",
"電子工業類報酬指數","2,131.96","+","34.63","1.65","",
"半導體類報酬指數","1,022.09","+","13.29","1.32","",
"電腦及週邊設備類報酬指數","541.28","+","10.32","1.94","",
"光電類報酬指數","53.33","+","1.82","3.53","",
"通信網路類報酬指數","354.78","+","7.26","2.09","",
"電子零組件類報酬指數","376.46","+","11.01","3.01","",
"電子通路類報酬指數","588.12","+","17.14","3.00","",
"資訊服務類報酬指數","528.22","+","24.32","4.83","",
"其他電子類報酬指數","231.41","+","3.66","1.61","",
"建材營造類報酬指數","1,106.53","+","28.61","2.65","",
"航運類報酬指數","385.06","+","5.66","1.49","",
"觀光餐旅類報酬指數","164.18","+","3.51","2.18","",
"金融保險類報酬指數","3,647.88","+","51.54","1.43","",
"貿易百貨類報酬指數","428.03","+","5.25","1.24","",
"油電燃氣類報酬指數","91.52","+","4.30","4.93","",
"綠能環保類報酬指數","101.40","+","2.56","2.59","",
"數位雲端類報酬指數","57.87","+","0.89","1.56","",
"運動休閒類報酬指數","86.13","+","3.47","4.20","",
"居家生活類報酬指數","118.83","+","1.25","1.06","",
"其他類報酬指數","535.13","+","15.37","2.96","",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技報酬指數","3,797.52","+","82.44","2.22","",
"臺灣中小型公司治理報酬指數","12,142.85","+","419.98","3.58","",
"臺灣IPO報酬指數","5,902.79","+","201.77","3.54","",
"智慧中立報酬指數","4,974.88","+","4.03","0.08","",
"加權指數掩護性臺指買權價外5%報酬指數","8,742.63","+","152.07","1.77","",
"臺灣5G報酬指數","12,491.52","+","132.19","1.07","",
"臺灣企業社會責任中小型報酬指數","13,050.79","+","338.76","2.66","",
"特選臺灣電動車代表報酬指數","10,213.02","+","207.53","2.07","",
"臺灣科技龍頭通訊報酬指數","10,301.50","+","95.97","0.94","",
"臺灣全市場報酬指數","7,898.56","+","147.64","1.90","",
"臺灣全市場半導體報酬指數","8,007.72","+","126.55","1.61","",
"臺灣智慧移動與電動車報酬指數","5,872.59","+","99.98","1.73","",
"特選小資高價30報酬指數","7,674.20","+","145.74","1.94","",
"特選臺灣綠能及電動車報酬指數","6,135.79","+","121.18","2.01","",
"特選臺灣智能車供應鏈聯盟報酬指數","7,231.95","+","96.90","1.36","",
"臺灣全市場半導體精選30報酬指數","6,177.63","+","81.84","1.34","",
"特選臺灣高股息30報酬指數","6,331.28","+","96.90","1.55","",
"臺灣友善環境報酬指數","7,056.18","+","109.23","1.57","",
"台灣永續價值報酬指數","6,229.83","+","81.26","1.32","",
"特選臺灣IC設計報酬指數","4,668.33","+","91.24","1.99","",
"特選臺灣環境永續高股息報酬指數","8,738.18","+","189.93","2.22","",
"臺灣友善環境50報酬指數","5,901.14","+","63.16","1.08","",
"特選臺灣IC設計產業代表報酬指數","6,071.48","+","106.38","1.78","",
"特選臺灣綠能報酬指數","4,974.11","+","133.45","2.76","",
"特選臺灣智慧50報酬指數","5,583.63","+","99.21","1.81","",
"臺灣晶圓製造報酬指數","6,139.75","+","110.72","1.84","",
"臺灣精選高息報酬指數","7,110.76","+","91.55","1.30","",
"臺灣多因子優選高股息30報酬指數","9,436.72","+","200.65","2.17","",
"特選臺灣優利高填息30報酬指數","8,468.08","+","112.82","1.35","",
"特選臺灣科技優息報酬指數","9,020.09","+","133.36","1.50","",
"臺灣半導體收益報酬指數","6,701.69","+","98.59","1.49","",
"臺灣優選成長高股息報酬指數","7,510.24","+","142.80","1.94","",
