"114年01月17日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","26,080.10","+","114.99","0.44","",
"發行量加權股價指數","23,148.08","+","122.98","0.53","",
"臺灣公司治理100指數","14,004.13","+","97.01","0.70","",
"臺灣50指數","19,808.18","+","145.36","0.74","",
"臺灣50權重上限30%指數","16,606.31","+","52.66","0.32","",
"臺灣中型100指數","18,964.93","+","27.85","0.15","",
"臺灣資訊科技指數","39,724.35","+","330.15","0.84","",
"臺灣發達指數","9,817.67","+","56.82","0.58","",
"臺灣高股息指數","9,188.04","+","7.66","0.08","",
"臺灣就業99指數","13,353.82","+","43.22","0.32","",
"臺灣高薪100指數","11,856.08","+","22.41","0.19","",
"未含金融指數","20,233.13","+","128.80","0.64","",
"未含電子指數","18,979.10","+","33.24","0.18","",
"未含金融電子指數","14,114.01","+","68.88","0.49","",
"小型股300指數","10,949.35","+","13.46","0.12","",
"水泥窯製類指數","576.69","+","11.37","2.01","",
"塑膠化工類指數","609.95","+","6.37","1.06","",
"機電類指數","7,184.15","+","46.15","0.65","",
"水泥類指數","151.79","+","2.70","1.81","",
"食品類指數","2,052.65","-","0.45","-0.02","",
"塑膠類指數","112.21","+","4.23","3.92","",
"紡織纖維類指數","597.00","+","3.00","0.51","",
"電機機械類指數","380.66","-","2.91","-0.76","",
"電器電纜類指數","85.80","+","0.41","0.48","",
"化學生技醫療類指數","133.87","-","0.87","-0.65","",
"化學類指數","158.09","+","0.27","0.17","",
"生技醫療類指數","75.10","-","0.84","-1.11","",
"玻璃陶瓷類指數","45.56","+","1.54","3.50","",
"造紙類指數","280.46","+","1.80","0.65","",
"鋼鐵類指數","117.83","+","2.14","1.85","",
"橡膠類指數","267.58","+","1.67","0.63","",
"汽車類指數","370.21","-","1.00","-0.27","",
"電子工業類指數","1,292.35","+","8.72","0.68","",
"半導體類指數","675.60","+","6.43","0.96","",
"電腦及週邊設備類指數","264.08","+","0.56","0.21","",
"光電類指數","39.57","-","0.26","-0.65","",
"通信網路類指數","166.79","+","0.45","0.27","",
"電子零組件類指數","233.00","+","0.16","0.07","",
"電子通路類指數","241.58","+","0.08","0.03","",
"資訊服務類指數","213.17","-","0.40","-0.19","",
"其他電子類指數","162.99","+","0.17","0.10","",
"建材營造類指數","524.38","+","1.57","0.30","",
"航運類指數","195.33","+","1.44","0.74","",
"觀光餐旅類指數","117.68","+","4.50","3.98","",
"金融保險類指數","2,105.23","-","7.69","-0.36","",
"貿易百貨類指數","276.81","+","1.28","0.46","",
"油電燃氣類指數","55.98","+","1.35","2.47","",
"綠能環保類指數","104.59","+","0.41","0.39","",
"數位雲端類指數","62.01","+","0.16","0.26","",
"運動休閒類指數","96.87","-","1.38","-1.40","",
"居家生活類指數","129.28","+","1.61","1.26","",
"其他類指數","313.92","-","1.88","-0.60","",
"臺指日報酬兩倍指數","63,142.31","+","667.37","1.07","",
"臺指反向一倍指數","2,782.15","-","14.94","-0.53","",
"電子類兩倍槓桿指數","83,384.23","+","1,117.71","1.36","",
"電子類反向指數","2,018.59","-","13.81","-0.68","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","3,890.46","-","39.73","-1.01","",
"臺灣中小型公司治理指數","10,112.69","-","27.03","-0.27","",
"臺灣IPO指數","5,670.10","-","116.85","-2.02","",
"智慧中立指數","3,647.19","-","0.84","-0.02","",
"臺灣5G指數","11,612.36","+","15.35","0.13","",
"臺灣企業社會責任中小型指數","11,496.84","+","25.92","0.23","",
"特選臺灣電動車代表指數","9,822.68","+","35.80","0.37","",
"臺灣5G+通訊指數","10,283.72","+","35.46","0.35","",
"臺灣全市場指數","7,972.63","+","30.57","0.38","",
"臺灣全市場半導體指數","7,895.84","-","5.43","-0.07","",
"臺灣智慧移動與電動車指數","5,729.00","-","1.79","-0.03","",
"特選小資高價30指數","8,283.31","+","5.91","0.07","",
"特選臺灣綠能及電動車指數","5,986.29","+","25.99","0.44","",
"特選臺灣智能車供應鏈聯盟指數","7,397.44","+","19.35","0.26","",
"臺灣全市場半導體精選30指數","6,180.09","-","0.44","-0.01","",
"特選臺灣高股息30指數","4,940.03","+","5.33","0.11","",
"臺灣友善環境指數","7,079.91","+","33.37","0.47","",
"台灣永續價值指數","6,461.43","+","31.39","0.49","",
"特選臺灣IC設計指數","4,455.76","-","29.29","-0.65","",
"特選臺灣環境永續高股息指數","6,660.66","+","10.46","0.16","",
"臺灣友善環境50指數","5,905.18","+","25.98","0.44","",
"特選臺灣IC設計產業代表指數","5,741.57","-","40.18","-0.69","",
"特選臺灣綠能指數","4,941.08","+","3.92","0.08","",
"特選臺灣智慧50指數","5,438.78","+","15.88","0.29","",
"臺灣晶圓製造指數","6,127.36","-","16.05","-0.26","",
"臺灣精選高息指數","5,371.53","+","8.49","0.16","",
"臺灣多因子優選高股息30指數","8,283.40","-","19.18","-0.23","",
"特選臺灣優利高填息30指數","7,148.38","+","23.62","0.33","",
"特選臺灣科技優息指數","8,598.53","-","6.64","-0.08","",
"臺灣半導體收益指數","6,641.54","-","8.82","-0.13","",
"臺灣優選成長高股息指數","7,362.68","-","17.96","-0.24","",
"特選臺灣ESG低碳高息40指數","7,979.82","-","19.92","-0.25","",
"臺灣優選多因子30指數","8,561.39","-","12.56","-0.15","",
"臺灣創新科技50指數","7,804.19","+","14.90","0.19","",
"臺灣全市場新經濟產業指數","4,729.58","-","16.20","-0.34","",
"臺灣ESG永續高股息等權重指數","5,936.73","+","19.98","0.34","",
"臺灣永續高息中小型指數","5,400.81","+","11.29","0.21","",
"特選臺灣高息優質成長指數","5,713.92","+","15.88","0.28","",
"特選臺灣高息動能指數","6,444.26","+","15.55","0.24","",
"臺灣電子成長高息等權重指數","5,711.89","-","2.42","-0.04","",
"特選臺灣優利成長指數","4,964.76","+","29.66","0.60","",
"臺灣價值高息指數","5,415.09","+","6.82","0.13","",
"特選臺灣IC設計動能指數","4,826.21","-","19.99","-0.41","",
"臺灣科技高股息指數","5,050.04","+","4.01","0.08","",
"臺灣趨勢動能高股息指數","5,658.49","+","22.86","0.41","",
"特選臺灣科技高息成長指數","5,091.18","-","11.18","-0.22","",
"特選臺灣AI優息動能指數","4,820.61","+","1.61","0.03","",
"臺灣優選AI 50指數","4,826.03","+","2.12","0.04","",
"臺灣AI供應鏈聯盟指數","5,531.25","+","15.76","0.29","",
"台灣旗艦動能50指數","5,253.21","-","21.81","-0.41","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","47,137.12","-","345.63","-0.73","",
"金融類日報酬反向一倍指數","3,492.57","+","12.67","0.36","",
"漲升股利150指數","9,878.81","+","32.99","0.34","",
"藍籌30指數","11,269.65","+","14.26","0.13","",
"工業菁英30指數","11,375.49","+","28.11","0.25","",
"低波動股利精選30指數","8,365.57","+","0.57","0.01","",
"中小型A級動能50指數","22,616.28","-","188.49","-0.83","",
"特選高息低波指數","10,000.26","+","26.25","0.26","",
"臺灣永續指數","12,133.56","+","46.21","0.38","",
"價值投資指數","7,750.33","-","2.50","-0.03","",
"存股雙十等權重指數","9,601.82","-","30.25","-0.31","",
"特選大蘋果指數","11,344.95","+","40.00","0.35","",
"中小型300指數","11,313.91","-","0.18","--","",
"臺灣500指數","11,518.37","+","43.04","0.38","",
"臺灣勞工權益指數","9,605.11","-","39.88","-0.41","",
"微波高息精選20指數","8,567.71","+","31.23","0.37","",
"特選世代行動通訊指數","9,378.38","+","0.65","0.01","",
"智慧投資多因子30指數","7,526.97","+","18.89","0.25","",
"臺股期貨指數","12,564.96","+","86.15","0.69","",
"特選價值成長指數","9,854.89","+","72.30","0.74","",
"臺灣上櫃永續指數","7,342.73","-","66.70","-0.90","",
"特選台股領航指數","11,783.35","+","4.04","0.03","",
"特選Smart多因子指數","9,365.95","+","37.42","0.40","",
"特選ESG高股息指數","6,817.72","-","44.21","-0.64","",
"特選上櫃ESG成長指數","5,198.42","-","62.11","-1.18","",
"特選上櫃ESG電子菁英指數","5,341.68","-","49.95","-0.93","",
"臺灣優息存股指數","5,319.76","+","4.05","0.08","",
"特選上櫃ESG永續高股息指數","7,041.41","-","16.53","-0.23","",
"特選臺灣金融高股息存股指數","6,775.76","-","30.41","-0.45","",
"特選臺灣產業龍頭存股等權重指數","6,632.47","+","25.14","0.38","",
"上櫃ESG 30指數","6,483.67","-","48.47","-0.74","",
"臺灣ESG低碳50指數","8,009.03","+","24.89","0.31","",
"臺灣創新板指數","8,627.73","-","128.50","-1.47","",
"特選上櫃ESG龍頭指數","6,129.31","-","49.07","-0.79","",
"漲升股利精選高息50指數","5,618.46","+","6.51","0.12","",
"臺灣市值動能50指數","5,114.96","+","22.21","0.44","",
"臺灣淨零轉型ESG 50指數","--","","--","--","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","38,791.88","+","171.02","0.44","",
"發行量加權股價報酬指數","51,185.24","+","271.94","0.53","",
"臺灣公司治理100報酬指數","20,503.24","+","142.04","0.70","",
"臺灣50報酬指數","44,096.34","+","323.61","0.74","",
"臺灣50權重上限30%報酬指數","37,684.18","+","119.50","0.32","",
"臺灣中型100報酬指數","39,254.81","+","57.65","0.15","",
"臺灣資訊科技股報酬指數","82,755.91","+","687.79","0.84","",
"臺灣發達報酬指數","20,379.97","+","117.95","0.58","",
"臺灣高股息報酬指數","27,702.06","+","23.10","0.08","",
"臺灣就業99報酬指數","22,266.27","+","72.07","0.32","",
"臺灣高薪100報酬指數","19,085.10","+","36.08","0.19","",
"未含金融電子報酬指數","32,338.45","+","157.84","0.49","",
"小型股300報酬指數","15,479.40","+","19.03","0.12","",
"水泥類報酬指數","322.01","+","5.71","1.81","",
"食品類報酬指數","3,430.45","-","0.75","-0.02","",
"塑膠類報酬指數","217.17","+","8.18","3.91","",
"紡織纖維類報酬指數","1,049.05","+","5.27","0.50","",
"電機機械類報酬指數","596.76","-","4.58","-0.76","",
"電器電纜類報酬指數","141.55","+","0.67","0.48","",
"化學生技醫療類報酬指數","221.25","-","1.45","-0.65","",
"化學類報酬指數","285.27","+","0.49","0.17","",
"生技醫療類報酬指數","110.23","-","1.23","-1.10","",
"玻璃陶瓷類報酬指數","57.99","+","1.96","3.50","",
"造紙類報酬指數","454.64","+","2.92","0.65","",
"鋼鐵類報酬指數","212.10","+","3.86","1.85","",
"橡膠類報酬指數","454.56","+","2.83","0.63","",
"汽車類報酬指數","622.77","-","1.67","-0.27","",
"電子工業類報酬指數","2,578.24","+","17.39","0.68","",
"半導體類報酬指數","1,259.34","+","11.98","0.96","",
"電腦及週邊設備類報酬指數","624.03","+","1.31","0.21","",
"光電類報酬指數","61.66","-","0.41","-0.66","",
"通信網路類報酬指數","374.61","+","1.02","0.27","",
"電子零組件類報酬指數","459.44","+","0.31","0.07","",
"電子通路類報酬指數","644.99","+","0.22","0.03","",
"資訊服務類報酬指數","540.08","-","1.03","-0.19","",
"其他電子類報酬指數","283.74","+","0.31","0.11","",
"建材營造類報酬指數","1,132.37","+","3.38","0.30","",
"航運類報酬指數","389.53","+","2.87","0.74","",
"觀光餐旅類報酬指數","172.53","+","6.59","3.97","",
"金融保險類報酬指數","3,872.68","-","14.16","-0.36","",
"貿易百貨類報酬指數","459.33","+","2.12","0.46","",
"油電燃氣類報酬指數","92.77","+","2.24","2.47","",
"綠能環保類報酬指數","109.78","+","0.43","0.39","",
"數位雲端類報酬指數","64.38","+","0.16","0.25","",
