"114年04月07日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","21,737.60","-","2,334.70","-9.70","",
"發行量加權股價指數","19,232.35","-","2,065.87","-9.70","",
"臺灣公司治理100指數","11,397.72","-","1,222.00","-9.68","",
"臺灣50指數","15,941.79","-","1,729.71","-9.79","",
"臺灣50權重上限30%指數","13,910.36","-","1,490.23","-9.68","",
"臺灣中型100指數","16,494.14","-","1,804.08","-9.86","",
"臺灣資訊科技指數","31,246.13","-","3,448.67","-9.94","",
"臺灣發達指數","8,698.73","-","861.76","-9.01","",
"臺灣高股息指數","8,265.92","-","910.09","-9.92","",
"臺灣就業99指數","11,608.95","-","1,226.39","-9.55","",
"臺灣高薪100指數","10,516.15","-","1,134.61","-9.74","",
"未含金融指數","16,639.71","-","1,782.39","-9.68","",
"未含電子指數","17,200.53","-","1,842.20","-9.67","",
"未含金融電子指數","12,819.68","-","1,353.60","-9.55","",
"小型股300指數","9,724.83","-","1,031.10","-9.59","",
"水泥窯製類指數","555.00","-","54.05","-8.87","",
"塑膠化工類指數","536.85","-","58.41","-9.81","",
"機電類指數","5,760.80","-","620.05","-9.72","",
"水泥類指數","146.49","-","14.25","-8.87","",
"食品類指數","1,949.74","-","184.78","-8.66","",
"塑膠類指數","99.62","-","10.95","-9.90","",
"紡織纖維類指數","522.08","-","57.39","-9.90","",
"電機機械類指數","321.07","-","35.41","-9.93","",
"電器電纜類指數","79.99","-","8.77","-9.88","",
"化學生技醫療類指數","116.84","-","12.59","-9.73","",
"化學類指數","144.60","-","15.56","-9.72","",
"生技醫療類指數","63.84","-","6.88","-9.73","",
"玻璃陶瓷類指數","42.95","-","4.24","-8.98","",
"造紙類指數","249.53","-","27.53","-9.94","",
"鋼鐵類指數","122.90","-","13.22","-9.71","",
"橡膠類指數","238.24","-","26.18","-9.90","",
"汽車類指數","331.17","-","35.48","-9.68","",
"電子工業類指數","1,034.41","-","111.26","-9.71","",
"半導體類指數","527.73","-","58.33","-9.95","",
"電腦及週邊設備類指數","218.67","-","24.05","-9.91","",
"光電類指數","34.30","-","3.78","-9.93","",
"通信網路類指數","154.45","-","9.68","-5.90","",
"電子零組件類指數","190.98","-","21.00","-9.91","",
"電子通路類指數","208.84","-","23.02","-9.93","",
"資訊服務類指數","198.81","-","20.74","-9.45","",
"其他電子類指數","131.22","-","14.29","-9.82","",
"建材營造類指數","493.05","-","52.09","-9.56","",
"航運類指數","182.82","-","19.71","-9.73","",
"觀光餐旅類指數","106.64","-","10.96","-9.32","",
"金融保險類指數","1,900.64","-","208.59","-9.89","",
"貿易百貨類指數","245.36","-","21.30","-7.99","",
"油電燃氣類指數","50.85","-","5.08","-9.08","",
