"114年03月04日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","25,582.78","-","157.78","-0.61","",
"發行量加權股價指數","22,596.88","-","159.37","-0.70","",
"臺灣公司治理100指數","13,301.71","-","151.68","-1.13","",
"臺灣50指數","18,664.29","-","226.44","-1.20","",
"臺灣50權重上限30%指數","16,211.98","-","116.38","-0.71","",
"臺灣中型100指數","19,713.86","+","9.39","0.05","",
"臺灣資訊科技指數","37,031.85","-","410.46","-1.10","",
"臺灣發達指數","10,017.70","-","66.85","-0.66","",
"臺灣高股息指數","9,522.63","-","17.05","-0.18","",
"臺灣就業99指數","13,415.18","-","63.79","-0.47","",
"臺灣高薪100指數","12,037.28","-","46.65","-0.39","",
"未含金融指數","19,631.82","-","131.43","-0.67","",
"未含電子指數","19,853.50","-","93.82","-0.47","",
"未含金融電子指數","14,922.73","-","27.13","-0.18","",
"小型股300指數","11,593.36","+","80.99","0.70","",
"水泥窯製類指數","614.25","-","6.56","-1.06","",
"塑膠化工類指數","638.43","-","0.99","-0.15","",
"機電類指數","6,832.17","-","54.64","-0.79","",
"水泥類指數","162.81","-","1.56","-0.95","",
"食品類指數","2,141.58","-","30.78","-1.42","",
"塑膠類指數","111.65","-","2.13","-1.87","",
"紡織纖維類指數","620.42","-","0.38","-0.06","",
"電機機械類指數","401.50","-","1.73","-0.43","",
"電器電纜類指數","95.92","-","0.75","-0.78","",
"化學生技醫療類指數","144.87","+","1.15","0.80","",
"化學類指數","170.03","+","2.06","1.23","",
"生技醫療類指數","81.55","+","0.46","0.57","",
"玻璃陶瓷類指數","46.09","-","0.88","-1.87","",
"造紙類指數","287.12","-","0.22","-0.08","",
"鋼鐵類指數","140.86","-","1.23","-0.87","",
"橡膠類指數","278.31","+","0.79","0.28","",
"汽車類指數","378.40","-","2.91","-0.76","",
"電子工業類指數","1,225.16","-","9.91","-0.80","",
"半導體類指數","622.48","-","8.86","-1.40","",
"電腦及週邊設備類指數","267.99","+","2.91","1.10","",
"光電類指數","41.10","+","0.09","0.22","",
"通信網路類指數","168.25","+","0.27","0.16","",
"電子零組件類指數","231.83","-","0.40","-0.17","",
