"114年04月29日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","22,842.56","+","231.54","1.02","",
"發行量加權股價指數","20,232.63","+","198.22","0.99","",
"臺灣公司治理100指數","12,058.64","+","89.24","0.75","",
"臺灣50指數","16,870.08","+","118.43","0.71","",
"臺灣50權重上限30%指數","14,676.10","+","115.78","0.80","",
"臺灣中型100指數","17,284.28","+","247.85","1.45","",
"臺灣資訊科技指數","33,172.20","+","191.00","0.58","",
"臺灣發達指數","9,076.11","+","136.18","1.52","",
"臺灣高股息指數","8,765.65","+","64.88","0.75","",
"臺灣就業99指數","12,128.83","+","137.14","1.14","",
"臺灣高薪100指數","10,992.53","+","102.74","0.94","",
"未含金融指數","17,519.39","+","160.72","0.93","",
"未含電子指數","17,884.90","+","257.56","1.46","",
"未含金融電子指數","13,288.80","+","189.29","1.45","",
"小型股300指數","10,033.72","+","160.83","1.63","",
"水泥窯製類指數","563.45","+","3.91","0.70","",
"塑膠化工類指數","564.27","+","10.75","1.94","",
"機電類指數","6,089.91","+","51.68","0.86","",
"水泥類指數","149.45","+","0.95","0.64","",
"食品類指數","2,018.18","-","3.10","-0.15","",
"塑膠類指數","103.52","+","1.71","1.68","",
"紡織纖維類指數","532.22","+","5.75","1.09","",
"電機機械類指數","337.07","+","12.12","3.73","",
"電器電纜類指數","79.66","+","2.72","3.54","",
"化學生技醫療類指數","123.34","+","2.94","2.44","",
"化學類指數","151.66","+","2.53","1.70","",
"生技醫療類指數","67.65","+","1.90","2.89","",
"玻璃陶瓷類指數","42.07","+","0.47","1.13","",
"造紙類指數","251.09","+","2.43","0.98","",
"鋼鐵類指數","123.09","+","1.91","1.58","",
"橡膠類指數","253.59","+","1.58","0.63","",
"汽車類指數","356.07","+","4.48","1.27","",
"電子工業類指數","1,093.99","+","8.46","0.78","",
"半導體類指數","559.21","+","3.57","0.64","",
"電腦及週邊設備類指數","237.17","+","1.52","0.65","",
"光電類指數","34.46","+","0.38","1.12","",
"通信網路類指數","159.69","+","2.87","1.83","",
"電子零組件類指數","197.84","+","2.33","1.19","",
"電子通路類指數","237.57","+","2.47","1.05","",
"資訊服務類指數","227.37","+","6.01","2.72","",
"其他電子類指數","137.63","+","1.00","0.73","",
"建材營造類指數","507.17","+","5.52","1.10","",
"航運類指數","187.46","+","0.40","0.21","",
"觀光餐旅類指數","112.66","+","1.60","1.44","",
"金融保險類指數","1,986.88","+","29.15","1.49","",
"貿易百貨類指數","263.74","+","2.46","0.94","",
"油電燃氣類指數","53.25","+","0.88","1.68","",
"綠能環保類指數","97.78","+","2.14","2.24","",
"數位雲端類指數","57.53","+","0.46","0.81","",
"運動休閒類指數","84.53","+","2.45","2.98","",
"居家生活類指數","115.48","+","3.10","2.76","",
